id,name,type,image,sound,phonemeSound
A,A,7,,eng/audio/a.ogg,eng/audio/a.ogg
B,B,7,,eng/audio/b.ogg,eng/audio/b.ogg
C,C,7,,eng/audio/c.ogg,eng/audio/c.ogg
D,D,7,,eng/audio/d.ogg,eng/audio/d.ogg
E,E,7,,eng/audio/e.ogg,eng/audio/e.ogg
F,F,7,,eng/audio/f.ogg,eng/audio/f.ogg
G,G,7,,eng/audio/g.ogg,eng/audio/g.ogg
H,H,7,,eng/audio/h.ogg,eng/audio/h.ogg
I,I,7,,eng/audio/i.ogg,eng/audio/i.ogg
J,J,7,,eng/audio/j.ogg,eng/audio/j.ogg
K,K,7,,eng/audio/k.ogg,eng/audio/k.ogg
L,L,7,,eng/audio/l.ogg,eng/audio/l.ogg
M,M,7,,eng/audio/m.ogg,eng/audio/m.ogg
N,N,7,,eng/audio/n.ogg,eng/audio/n.ogg
O,O,7,,eng/audio/o.ogg,eng/audio/o.ogg
P,P,7,,eng/audio/p.ogg,eng/audio/p.ogg
Q,Q,7,,eng/audio/q.ogg,eng/audio/q.ogg
R,R,7,,eng/audio/r.ogg,eng/audio/r.ogg
S,S,7,,eng/audio/s.ogg,eng/audio/s.ogg
T,T,7,,eng/audio/t.ogg,eng/audio/t.ogg
U,U,7,,eng/audio/u.ogg,eng/audio/u.ogg
V,V,7,,eng/audio/v.ogg,eng/audio/v.ogg
W,W,7,,eng/audio/w.ogg,eng/audio/w.ogg
X,X,7,,eng/audio/x.ogg,eng/audio/x.ogg
Y,Y,7,,eng/audio/y.ogg,eng/audio/y.ogg
Z,Z,7,,eng/audio/z.ogg,eng/audio/z.ogg
a,a,6,,eng/audio/a.ogg,eng/audio/a.ogg
b,b,6,,eng/audio/b.ogg,eng/audio/b.ogg
c,c,6,,eng/audio/c.ogg,eng/audio/c.ogg
d,d,6,,eng/audio/d.ogg,eng/audio/d.ogg
e,e,6,,eng/audio/e.ogg,eng/audio/e.ogg
f,f,6,,eng/audio/f.ogg,eng/audio/f.ogg
g,g,6,,eng/audio/g.ogg,eng/audio/g.ogg
h,h,6,,eng/audio/h.ogg,eng/audio/h.ogg
i,i,6,,eng/audio/i.ogg,eng/audio/i.ogg
j,j,6,,eng/audio/j.ogg,eng/audio/j.ogg
k,k,6,,eng/audio/k.ogg,eng/audio/k.ogg
l,l,6,,eng/audio/l.ogg,eng/audio/l.ogg
m,m,6,,eng/audio/m.ogg,eng/audio/m.ogg
n,n,6,,eng/audio/n.ogg,eng/audio/n.ogg
